DATESTR,DATENUM,TYPE,DEPENDENCE,LON,LAT,DEP,LOCSRC,PREFMW,PREFMWSRC,PREFMS,PREFMSSRC,PREFmb,PREFmbSRC,PREFML,PREFMLSRC,MLREGION,REVML,MX_ORIGML,MX_TYPE,MX_REVML,MX_REVMLTYPE,MX_REVMLSRC,MS2MW,mb2MW,ML2MW,PREFMW,PREFMWSRC,COMM
1840-03-31 06:30:00,672137.2708,local,1,138.6,-34.9,7,ADE,NaN,,NaN,,NaN,,2.7,ADE,SA,2.62,2.7,MP,2.62,REV_ML,REV_ML,NaN,NaN,2.94,2.94,ML2MW,Adelaide; SA
1841-01-27 21:55:00,672439.9132,local,1,151.6,-32.8,10,KMcC,NaN,,NaN,,NaN,,4.9,KMcC,SEA,4.47,4.9,MP,4.47,REV_ML,REV_ML,NaN,NaN,4.37,4.37,ML2MW,Maitland; NSW
1841-04-21 15:00:00,672523.625,local,1,145,-38,NaN,GG,NaN,,NaN,,NaN,,4,GG,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Melbourne; Vic
1841-10-30 00:00:00,672715,local,1,145,-38,10,GG,NaN,,NaN,,NaN,,4,GG,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Melbourne; Vic
1842-10-27 19:30:00,673077.8125,local,1,151.6,-32.6,10,KMcC,NaN,,NaN,,NaN,,5.3,KMcC,SEA,4.81,5.3,MP,4.81,REV_ML,REV_ML,NaN,NaN,4.67,4.67,ML2MW,Newcastle; NSW
1847-04-28 06:30:00,674721.2708,local,1,144.8,-37.8,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Melbourne; Vic
1848-09-13 06:30:00,675225.2708,local,1,138.6,-34.9,7,ADE,NaN,,NaN,,NaN,,3,ADE,SA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Adelaide; SA
1848-09-14 18:30:00,675226.7708,local,1,138.9,-33.7,10,ADE,NaN,,NaN,,NaN,,3.6,ADE,SA,3.38,3.6,MP,3.38,REV_ML,REV_ML,NaN,NaN,3.49,3.49,ML2MW,Burra; SA
1848-10-12 01:30:00,675254.0625,local,1,144.8,-37.8,10,Underwood,NaN,,NaN,,NaN,,3,Underwood,SEA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Melbourne; Vic
1848-11-01 00:00:00,675274,local,1,142.5,-38.4,10,Osburne,NaN,,NaN,,NaN,,3,Osburne,SEA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Warrnambool; Vic
1850-09-24 00:00:00,675966,local,1,149,-35,NaN,GG,NaN,,NaN,,NaN,,4,GG,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Yass; NSW
1852-05-19 10:30:00,676569.4375,local,1,138.517,-35.15,7,ADE,NaN,,NaN,,NaN,,2.7,ADE,SA,2.62,2.7,MP,2.62,REV_ML,REV_ML,NaN,NaN,2.94,2.94,ML2MW,Morphett Vale; SA
1853-09-15 16:30:00,677053.6875,local,1,138.11,-32.85,11,ADE,NaN,,NaN,,NaN,,4.5,ADE,SA,4.13,4.5,MP,4.13,REV_ML,REV_ML,NaN,NaN,4.09,4.09,ML2MW,Mt Remarkable; SA
1855-02-18 22:00:00,677574.9167,local,2,138.95,-34.35,7,ADE,NaN,,NaN,,NaN,,3.8,ADE,SA,3.55,3.8,MP,3.55,REV_ML,REV_ML,NaN,NaN,3.62,3.62,ML2MW,Kapunda; SA
1855-02-23 19:00:00,677579.7917,local,0,138.95,-34.35,7,ADE,NaN,,NaN,,NaN,,3.1,ADE,SA,2.96,3.1,MP,2.96,REV_ML,REV_ML,NaN,NaN,3.18,3.18,ML2MW,Kapunda; SA
1855-09-16 17:12:00,677784.7167,local,1,144.8,-38.7,10,GG,NaN,,NaN,,NaN,,5.5,GG,SEA,4.97,5.5,MP,4.97,REV_ML,REV_ML,NaN,NaN,4.82,4.82,ML2MW,Bass Strait
1856-06-24 16:50:00,678066.7014,local,1,138.7,-34.65,7,ADE,NaN,,NaN,,NaN,,4.4,ADE,SA,4.05,4.4,MP,4.05,REV_ML,REV_ML,NaN,NaN,4.02,4.02,ML2MW,Gawler; SA
1857-04-27 14:20:00,678373.5972,local,1,138.18,-35.833,7,ADE,NaN,,NaN,,NaN,,3.3,ADE,SA,3.13,3.3,MP,3.13,REV_ML,REV_ML,NaN,NaN,3.3,3.3,ML2MW,Cape Willoughby; SA
1858-08-21 12:45:00,678854.5313,local,2,139,-34.567,8,ADE,NaN,,NaN,,NaN,,3.7,ADE,SA,3.46,3.7,MP,3.46,REV_ML,REV_ML,NaN,NaN,3.56,3.56,ML2MW,Tanunda; SA
1858-08-21 17:45:00,678854.7396,local,0,139,-34.567,8,ADE,NaN,,NaN,,NaN,,3.2,ADE,SA,3.04,3.2,MP,3.04,REV_ML,REV_ML,NaN,NaN,3.24,3.24,ML2MW,Tanunda; SA
1858-08-22 09:30:00,678855.3958,local,0,139,-34.567,8,ADE,NaN,,NaN,,NaN,,3.2,ADE,SA,3.04,3.2,MP,3.04,REV_ML,REV_ML,NaN,NaN,3.24,3.24,ML2MW,Tanunda; SA
1858-08-23 14:30:00,678856.6042,local,0,139,-34.567,8,ADE,NaN,,NaN,,NaN,,2.7,ADE,SA,2.62,2.7,MP,2.62,REV_ML,REV_ML,NaN,NaN,2.94,2.94,ML2MW,Tanunda; SA
1859-06-12 08:30:00,679149.3542,local,1,140.783,-37.833,9,ADE,NaN,,NaN,,NaN,,3.9,ADE,SEA,3.63,3.9,MP,3.63,REV_ML,REV_ML,NaN,NaN,3.69,3.69,ML2MW,Mt Gambier; SA
1859-11-21 18:50:00,679311.7847,local,1,145.2,-40.7,10,Leiba,NaN,,NaN,,NaN,,5.4,Leiba,SEA,4.89,5.4,MP,4.89,REV_ML,REV_ML,NaN,NaN,4.74,4.74,ML2MW,Circular Head; Tas
1862-12-14 20:55:00,680430.8715,local,1,138.7,-34.067,8,ADE,NaN,,NaN,,NaN,,4.2,ADE,SA,3.88,4.2,MP,3.88,REV_ML,REV_ML,NaN,NaN,3.89,3.89,ML2MW,Auburn; SA
1866-08-24 12:45:00,681779.5313,local,1,138.867,-34.883,7,ADE,NaN,,NaN,,NaN,,4.1,ADE,SA,3.8,4.1,MP,3.8,REV_ML,REV_ML,NaN,NaN,3.82,3.82,ML2MW,Gumeracha; SA
1866-12-02 20:20:00,681879.8472,local,1,139.133,-33.367,8,ADE,NaN,,NaN,,NaN,,3.3,ADE,SA,3.13,3.3,MP,3.13,REV_ML,REV_ML,NaN,NaN,3.3,3.3,ML2MW,Ketchowla; SA
1868-06-18 13:58:00,682443.5819,local,1,151.6,-32.8,10,KMcC,NaN,,NaN,,NaN,,5.3,KMcC,SEA,4.81,5.3,MP,4.81,REV_ML,REV_ML,NaN,NaN,4.67,4.67,ML2MW,Maitland; NSW
1868-10-28 03:45:00,682575.1563,local,2,138.7,-33.58,7,ADE,NaN,,NaN,,NaN,,4.3,ADE,SA,3.97,4.3,MP,3.97,REV_ML,REV_ML,NaN,NaN,3.96,3.96,ML2MW,Clare Valley; SA
1868-10-28 19:44:00,682575.8222,local,0,138.7,-33.58,7,ADE,NaN,,NaN,,NaN,,3.5,ADE,SA,3.29,3.5,MP,3.29,REV_ML,REV_ML,NaN,NaN,3.43,3.43,ML2MW,Clare Valley; SA
1868-11-01 07:40:00,682579.3194,local,0,138.7,-33.58,7,ADE,NaN,,NaN,,NaN,,2.7,ADE,SA,2.62,2.7,MP,2.62,REV_ML,REV_ML,NaN,NaN,2.94,2.94,ML2MW,Clare Valley; SA
1869-08-29 18:50:00,682880.7847,local,2,147,-37,10,Underwood,NaN,,NaN,,NaN,,5,Underwood,SEA,4.55,5,MP,4.55,REV_ML,REV_ML,NaN,NaN,4.45,4.45,ML2MW,Eastern Highlands; Vic
1869-08-30 10:35:00,682881.441,local,0,147,-37,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Eastern Highlands; Vic
1871-01-11 07:45:00,683380.3229,local,1,138.833,-33.783,10,ADE,NaN,,NaN,,NaN,,3.9,ADE,SA,3.63,3.9,MP,3.63,REV_ML,REV_ML,NaN,NaN,3.69,3.69,ML2MW,Burra; SA
1871-01-12 11:55:00,683381.4965,local,1,139,-32.667,11,ADE,NaN,,NaN,,NaN,,3.4,ADE,SA,3.21,3.4,MP,3.21,REV_ML,REV_ML,NaN,NaN,3.37,3.37,ML2MW,Beautiful Valley; SA
1871-06-08 04:10:00,683528.1736,local,1,148.1,-35.3,10,Spennemann,NaN,,NaN,,NaN,,5.3,Spennemann,SEA,4.81,5.3,ML,4.81,REV_ML,REV_ML,NaN,NaN,4.67,4.67,ML2MW,Tumut; NSW
1872-01-03 12:15:00,683737.5104,local,1,148.1,-35.5,10,Spennemann,NaN,,NaN,,NaN,,4.9,Spennemann,SEA,4.47,4.9,ML,4.47,REV_ML,REV_ML,NaN,NaN,4.37,4.37,ML2MW,Tumut; NSW
1872-01-30 13:40:00,683764.5694,local,1,138.883,-34.067,9,ADE,NaN,,NaN,,NaN,,4.8,ADE,SA,4.39,4.8,MP,4.39,REV_ML,REV_ML,NaN,NaN,4.3,4.3,ML2MW,Riverton; SA
1872-06-08 09:40:00,683894.4028,local,1,138.95,-33.95,7,ADE,NaN,,NaN,,NaN,,4.1,ADE,SA,3.8,4.1,MP,3.8,REV_ML,REV_ML,NaN,NaN,3.82,3.82,ML2MW,S of Burra; SA
1872-08-07 19:10:00,683954.7986,local,1,144,-37,NaN,KMcC,NaN,,NaN,,NaN,,3,KMcC,SEA,2.87,3,M?,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Maldon; Vic
1872-08-12 12:00:00,683959.5,local,1,152,-26.75,10,BRS,NaN,,NaN,,NaN,,3,BRS,SEA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Nanango; Qld
